Id,Company,Primary Industry,Country,Url,Current Rank,Prior Rank,Executive1,Executive2,Earnings Per Share Growth,Cost Of Goods Sold,Current Liabilities,Total Assets,Long Term Debt,Return On Equity,Revenue,Total Company Assets,Revenue Growth,Net Income,Earnings Per Share,Total Equity,Profit Margin,Debt To Equity Ratio,Inventory Turnover
81,Compagnie de Saint-Gobain,"Stone, Clay, Glass & Concrete Products",France,www.saint-gobain.com,82,77,"Pierre-Andre de Chalendar, Chief Executive Officer","Benoit Bazin, Senior Vice President",34.71%,,"$13,740 ","$19,112 ",7983.92,7.18925,"$43,204 ","$48,857 ",-3.49%,"$1,410 ",$34.71 ,"$20,647 ",3.26%,0.39%,6224.84
82,Orange,Communications Equipment,France,www.orange.com,79,86,"Stephane Richard, Chief Executive Officer","Gervais Pellissier, Chief Executive Officer Delegate",196.77%,NA,"$23,555 ","$15,588 ",,8.97189,"$43,784 ","$99,586 ",2.47%,"$2,888 ",$196.77 ,"$33,664 ",6.60%,NA,831.068
83,Reliance Industries Ltd.,Textiles,India,www.ril.com,83,61,"Mr. Mukesh D. Ambani, Chairman;Managing Director","Nikhil R. Meswani, Executive Director",17.06%,,"$28,104 ","$19,140 ",2147.09,12.6454,"$43,061 ","$91,661 ",-25.85%,"$4,177 ",$17.06 ,"$36,839 ",9.70%,0.06%,7101.11
84,Continental AG,Rubber Products,Germany,www.continental-corporation.com,84,101,"Dr. Elmar Degenhart, Chairman;Executive Board Member","Dr. Ralf Cramer, Chief Executive Officer;President",14.81%,,"$13,180 ","$14,343 ",3458.24,25.5564,"$42,731 ","$35,765 ",13.70%,"$2,970 ",$14.81 ,"$13,927 ",6.95%,0.25%,3659.86
85,Steel Authority of India Ltd.,Primary Metals,India,www.sail.co.in,86,560,"Shri C. S. Verma, Chairman","Shri S. N. Singh, Managing Director",-18.69%,,"$31,572 ","$26,310 ",13098.5,4.98598,"$42,580 ","$91,918 ",-1.73%,"$1,957 ",($18.69),"$40,101 ",4.60%,0.33%,16278.2
86,ITOCHU Corp.,Textiles,Japan,www.itochu.co.jp,87,89,"Masahiro Okafuji, President","Koji Takayanagi, Executive Vice President",-18.77%,,"$20,545 ","$30,466 ",23005.1,9.879,"$42,229 ","$66,758 ",-9.08%,"$1,996 ",($18.77),"$18,223 ",4.73%,1.26%,5957.19
87,Repsol SA,Petroleum & Coal Products,Spain,www.repsol.com,85,67,"Mr. Antonio Brufau Niubo, Chairman;Chief Executive Officer","Mr. Juan Abello Gallo, First Vice Chairman",-174.36%,,"$15,768 ","$13,888 ",11524.9,-4.39202,"$42,711 ","$68,704 ",-14.04%,"($1,336)",($174.36),"$31,000 ",-3.13%,0.37%,3107.52
88,Tata Motors Ltd.,Motor Vehicles,India,www.tatamotors.com,89,115,"Karl Slym, Managing Director","Ravindra Pisharody, Executive Director",-17.26%,,"$16,756 ","$17,436 ",7843.86,20.6074,"$41,814 ","$40,718 ",5.34%,"$1,666 ",($17.26),"$12,214 ",3.99%,0.64%,5050.03
89,Kia Motors Corp.,Motor Vehicles,Korea,www.kia.co.kr,88,98,"Mong-Koo Chung, Ph.D., Chairman;Chief Executive Officer","Hyoung-Keun Lee, Vice-Chairman;Chief Executive Officer",-11.28%,,"$12,391 ","$15,631 ",3001.96,11.6999,"$42,090 ","$39,080 ",5.15%,"$2,235 ",($11.28),"$20,572 ",5.31%,0.15%,6540.62
90,SK Innovation Co. Ltd.,Petroleum & Coal Products,Korea,www.skenergy.com,91,62,"Tae-Won Chey, Ph.D., Chairman;Chief Executive Officer","Ja-Young Koo, Chief Executive Officer;President",NM,,"$6,369 ","$10,915 ",5210.25,5.43273,"$41,100 ","$26,654 ",-26.58%,$692 ,NM,"$13,505 ",1.69%,0.39%,3025.64
91,Tyson Foods Inc.,Food,United States,www.tyson.com,90,114,"Mr. Tom Hayes, President","Mr. Donald J. ""Donnie"" Smith, Chief Executive Officer",24.47%,,"$3,535 ","$5,381 ",6010,13.7233,"$41,373 ","$23,004 ",10.09%,"$1,220 ",$24.47 ,"$9,691 ",2.95%,0.62%,2878
92,Nippon Steel & Sumitomo Metal Corp.,Fabricated Metal Products,Japan,www.nssmc.com,92,91,"Shoji Muneoka, Chairman","Kosei Shindo, President",NA,,"$13,415 ","$16,531 ",12832.7,4.88197,"$40,766 ","$53,373 ",-12.52%,"$1,208 ",NA,"$23,042 ",2.96%,0.56%,9228.31
93,Merck & Co. Inc.,Pharmaceuticals,United States,www.merck.com,93,100,"Mr. Kenneth C. Frazier, Chairman;President","Mr. Robert M. Davis, Executive Vice President;Chief Financial Officer",-61.67%,,"$19,203 ","$29,764 ",23929,9.13109,"$39,498 ","$101,779 ",-6.48%,"$4,442 ",($61.67),"$44,676 ",11.25%,0.54%,4700
94,Fujitsu Ltd.,Computers & Other Electronic Products,Japan,www.fujitsu.com,95,108,"Masami Yamamoto, Chairman","Tatsuya Tanaka, President",-38.01%,,"$12,020 ","$15,317 ",3222.16,10.9814,"$39,369 ","$26,801 ",-0.29%,$720 ,($38.01),"$6,502 ",1.83%,0.50%,2482.55
95,Saudi Basic Industries Corp. (SABIC),Chemicals,Saudi Arabia,www.sabic.com,94,81,"H.H. Prince Saud bin Abudullah bin Thenayan Al-Sau, Chairman",,-19.54%,,"$11,348 ","$31,180 ",15789.8,11.633,"$39,444 ","$87,425 ",-21.64%,"$4,999 ",($19.54),"$43,130 ",12.67%,0.37%,6561.96
96,LVMH Moet Hennessy Louis Vuitton SA,Beverages,France,www.lvmh.com,97,116,"Bernard Arnault, Chairman;Chief Executive Officer","Antonio Belloni, Managing Director",-36.84%,,"$13,831 ","$20,640 ",4913.43,16.4178,"$38,831 ","$62,739 ",16.38%,"$3,891 ",($36.84),"$26,510 ",10.02%,0.19%,10996.7
97,Wilmar International Ltd.,Food,Singapore,www.wilmar-international.com,98,96,"Mr. Khoon Hong Kuok, Chief Executive Officer;Chairman","Mr. Martua Sitorus, Chief Operating Officer;Executive Director",-8.29%,,"$14,690 ","$18,801 ",6347.55,6.81558,"$38,776 ","$37,938 ",-10.00%,"$1,056 ",($8.29),"$15,126 ",2.72%,0.42%,6317.53
98,Hyundai Heavy Industries Co. Ltd.,"Railcars, Ships, & Other Trans. Equip.",Korea,www.hhi.co.kr,96,85,"Keh-Sik Min, Ph.D., Chairman;Chief Executive Officer","Jai-Seong Lee, Ph.D., Chief Executive Officer;President",NM,,"$19,600 ","$23,098 ",7824.49,-8.89634,"$39,294 ","$42,270 ",-12.08%,"($1,147)",NM,"$11,675 ",-2.92%,0.67%,3818.16
99,Honeywell International Inc.,Miscellaneous,United States,www.honeywell.com,99,105,"Mr. David M. Cote, Chairman","Mr. Roger Fradin, Co-Vice Chairman",13.32%,,"$18,371 ","$20,053 ",5554,26.6726,"$38,581 ","$49,316 ",-4.28%,"$4,768 ",$13.32 ,"$18,573 ",12.36%,0.30%,4420
100,Christian Dior SA,Apparel,France,www.dior-finance.com,100,113,"Sidney Toledano, Chief Executive Officer","Florian Ollivier, Chief Financial Officer",66.84%,,"$13,291 ","$19,889 ",6676.86,19.8663,"$38,207 ","$65,385 ",13.21%,"$2,590 ",$66.84 ,"$11,189 ",6.78%,0.60%,11658.9
101,Imperial Brands PLC,Tobacco,United Kingdom,www.imperial-tobacco.com,103,103,"Mr. Mark Williamson, Chairman","Ms. Alison Cooper, Chief Executive Officer",19.45%,,"$13,546 ","$11,067 ",18153.8,33.386,"$37,476 ","$44,656 ",-5.02%,"$2,505 ",$19.45 ,"$7,894 ",6.69%,2.30%,4211.69
102,Sanofi,Pharmaceuticals,France,www.sanofi.com,101,102,"Olivier Brandicourt, Chief Executive Officer;Executive Chairman","Olivier Charmeil, Executive Vice President",-1.52%,,"$18,326 ","$27,151 ",14288.3,7.63899,"$37,970 ","$111,449 ",2.20%,"$4,669 ",($1.52),"$63,227 ",12.30%,0.23%,7097.3
103,Denso Corp.,Motor Vehicle Parts,Japan,www.denso.co.jp,102,121,"Nobuaki Kato, Chairman","Koji Kobayashi, Vice-Chairman",-5.17%,,"$10,444 ","$19,913 ",1783.01,7.33941,"$37,585 ","$41,891 ",4.98%,"$2,029 ",($5.17),"$25,947 ",5.40%,0.07%,3958.93
104,Volvo AB,Motor Vehicles,Sweden,www.volvogroup.com,105,118,"Olof Persson, Chief Executive Officer;President","Dennis Slagle, Executive Vice President",619.42%,,"$18,487 ","$20,246 ",8929.06,19.225,"$37,069 ","$44,382 ",10.45%,"$1,786 ",$619.42 ,"$9,941 ",4.82%,0.90%,5265.44
105,Oracle Corp.,Computers & Other Electronic Products,United States,www.oracle.com,106,111,"Mr. Lawrence J. Ellison, Executive Chairman;Chief Technology Officer","Mr. Jeffrey O. Henley, Vice-Chairman",-6.33%,,"$17,208 ","$64,313 ",40105,18.2911,"$37,047 ","$112,180 ",-3.08%,"$8,901 ",($6.33),"$47,289 ",24.03%,0.85%,212
106,Johnson Controls Inc.,Motor Vehicle Parts,United States,www.johnsoncontrols.com,104,99,"Mr. Alex A. Molinaroli, MBA, Chairman;President","Mr. R. Bruce McDonald, CPA, Vice-Chairman;Executive Vice President",31.11%,,"$10,495 ","$11,093 ",5745,13.8184,"$37,179 ","$29,673 ",-13.19%,"$1,563 ",$31.11 ,"$10,376 ",4.20%,0.55%,2377
107,Pegatron Corp.,Computers & Other Electronic Products,Taiwan Province of China,www.pegatroncorp.com,108,134,"T.H. Tung, Chief Executive Officer;Chairman","Ted Hsu, Deputy Chief Executive",47.49%,,"$8,146 ","$11,880 ",374.52,17.8136,"$36,935 ","$14,488 ",19.02%,$724 ,$47.49 ,"$4,576 ",1.96%,0.08%,3596.02
108,ABB Ltd.,Machinery,Switzerland,www.abb.com,110,106,"Ulrich Spiesshofer, Chief Executive Officer","Eric Elzvik, Chief Financial Officer",-23.01%,,"$15,844 ","$22,760 ",5985,11.8815,"$35,481 ","$41,356 ",-10.92%,"$1,933 ",($23.01),"$14,481 ",5.45%,0.41%,4757
109,Bharat Petroleum Corp. Ltd.,Petroleum & Coal Products,India,www.bharatpetroleum.in,107,110,"Shri S. Radhakrishnan, MBA, Director","Shri S. K. Joshi, MBA, Director",22.91%,,"$6,076 ","$5,485 ",2924.55,24.7255,"$37,002 ","$13,148 ",-7.93%,$726 ,$22.91 ,"$3,411 ",1.96%,0.86%,2630.94
110,Mitsubishi Electric Corp.,Electrical Equipment & Appliances,Japan,www.mitsubishielectric.co.jp,109,120,"Kenichiro Yamanishi, Chairman","Masaki Sakuyama, President",-2.64%,,"$12,526 ","$21,198 ",2388.34,12.4033,"$36,504 ","$33,726 ",1.65%,"$1,898 ",($2.64),"$15,274 ",5.20%,0.16%,5350.8
111,"Sinopharm Group Co., Ltd.",Pharmaceuticals,China,www.sinopharmgroup.com.cn,112,132,"Wei Yulin, President","Mr. Guangpu Li, Vice President",22.52%,,"$14,578 ","$17,977 ",93.6471,13.7341,"$34,963 ","$21,289 ",13.46%,$579 ,$22.52 ,"$4,627 ",1.66%,0.02%,3441.13
112,GlaxoSmithKline PLC,Pharmaceuticals,United Kingdom,www.gsk.com,111,124,"Sir Andrew Witty, Chief Executive Officer","Mr. Roger Connor, President",203.88%,,"$19,883 ","$24,581 ",22709.3,197.56,"$35,452 ","$79,204 ",3.99%,"$12,480 ",$203.88 ,"$7,578 ",35.20%,3.00%,6988.85
113,George Weston Ltd.,Food,Canada,www.weston.ca,115,112,"Mr. W. Galen Weston O.C., Executive Chairman","Mr. Paul Barnicke, Vice President",484.38%,NA,"$6,067 ","$8,433 ",7868.04,7.23007,"$33,763 ","$27,217 ",6.78%,$379 ,$484.38 ,"$5,543 ",1.12%,1.42%,3252.19
114,Energy Transfer Partners LP,Petroleum & Coal Products,United States,www.energytransfer.com,114,78,"Mr. Marshall S. McCrea, III, President;Chief Operating Officer",,-105.65%,,"$4,121 ","$4,698 ",28786,NA,"$34,292 ","$65,173 ",-32.97%,"$1,364 ",($105.65),$33 ,3.98%,872.30%,1213
115,Mitsubishi Heavy Industries Ltd.,Miscellaneous,Japan,www.mhi.co.jp,116,129,"Hideaki Omiya, Chairman","Shunichi Miyanaga, President;Chief Executive Officer",-0.26%,,"$21,581 ","$29,292 ",5252.57,3.57835,"$33,617 ","$45,620 ",1.37%,$530 ,($0.26),"$13,975 ",1.58%,0.38%,11068.1
116,Hindustan Petroleum Corp. Ltd.,Petroleum & Coal Products,India,www.hindustanpetroleum.com,117,126,"Shri S. Roy Choudhury, Managing Director","Dr. V. Vizia Saradhi, Director",38.71%,NA,"$4,712 ","$5,134 ",4314.72,10.7051,"$33,031 ","$12,964 ",-7.30%,$226 ,$38.71 ,"$2,105 ",0.69%,2.05%,2426.02
117,Rio Tinto Group,Primary Metals,United Kingdom,www.riotinto.com,113,326,"Sam Walsh, Chief Executive Officer","Chris Lynch, Chief Financial Officer",-113.53%,NA,"$10,046 ","$15,261 ",,-1.84293,"$34,829 ","$91,564 ",-26.93%,($853),($113.53),"$37,349 ",-2.45%,NA,3168
118,Gilead Sciences Inc.,Pharmaceuticals,United States,www.gilead.com,119,165,"Dr. John C. Martin, Ph.D., Executive Chairman","Dr. John F. Milligan, Ph.D., Chief Executive Officer",62.04%,,"$9,891 ","$24,763 ",21195,117.386,"$32,639 ","$51,839 ",31.13%,"$18,108 ",$62.04 ,"$18,534 ",55.48%,1.14%,1955
119,LyondellBasell Industries NV,Chemicals,Netherlands,www.lyondellbasell.com,118,94,"Mr. Bhavesh V. Patel, Chief Executive Officer;Region Officer","Mr. Thomas Aebischer, Executive Vice President;Chief Financial Officer",20.03%,,"$4,349 ","$9,789 ",7671,53.8369,"$32,735 ","$22,757 ",-28.23%,"$4,476 ",$20.03 ,"$6,550 ",13.67%,1.17%,4051
120,Magna International Inc.,Motor Vehicle Parts,Canada,www.magna.com,121,117,"Mr. Donald J. Walker, Chief Executive Officer","Mr. Vincent J. Galifi, Executive Vice President;Chief Financial Officer",12.31%,,"$7,276 ","$11,144 ",2346,23.2475,"$32,134 ","$19,706 ",-12.30%,"$2,013 ",$12.31 ,"$8,966 ",6.26%,0.26%,2564
121,Nike Inc.,Apparel,United States,www.nike.com,120,151,"Mr. Mark G. Parker, Chairman;President","Mr. David J. Ayre, Executive Vice President",16.76%,,"$5,358 ","$15,025 ",2010,29.59,"$32,376 ","$21,396 ",5.80%,"$3,760 ",$16.76 ,"$12,258 ",11.61%,0.16%,4838
122,Mitsubishi Chemical Holdings Corp.,Chemicals,Japan,www.mitsubishichem-hd.co.jp,122,142,"Yoshimitsu Kobayashi, Chairman","Hiroaki Ishizuka, Vice-Chairman",-23.42%,,"$11,183 ","$15,098 ",7165.52,4.73211,"$31,758 ","$33,739 ",4.56%,$385 ,($23.42),"$7,748 ",1.21%,0.92%,4550.82
123,Bridgestone Corp.,Rubber Products,Japan,www.bridgestone.co.jp,124,141,"Masaaki Tsuya, Chairman;Chief Executive Officer","Kazuhisa Nishigai, Chief Operating Officer",-5.44%,,"$6,937 ","$15,023 ",2363.61,13.6964,"$31,485 ","$31,532 ",3.17%,"$2,361 ",($5.44),"$18,350 ",7.50%,0.13%,4616.54
124,General Dynamics Corp.,"Railcars, Ships, & Other Trans. Equip.",United States,www.generaldynamics.com,125,140,"Ms. Phebe N. Novakovic, Chairman","Mr. Mark C. Roualet, Executive Vice President",22.37%,,"$12,445 ","$14,571 ",2898,25.0655,"$31,469 ","$31,997 ",2.00%,"$2,965 ",$22.37 ,"$10,738 ",9.42%,0.27%,3366
125,ConocoPhillips,Petroleum & Coal Products,United States,www.conocophillips.com,126,74,"Mr. Ryan M. Lance, Chairman;President","Mr. Don E. Wallette, Jr., Chief Financial Officer;Executive Vice President",-164.97%,,"$9,256 ","$8,789 ",23453,-8.52998,"$30,935 ","$97,484 ",-44.28%,"($4,428)",($164.97),"$39,762 ",-14.31%,0.59%,1124
126,Quanta Computer Inc.,Computers & Other Electronic Products,Taiwan Province of China,www.quantatw.com,127,146,"Barry Lam, Chairman","C.C. Leung, Vice-Chairman;President",-5.97%,,"$11,228 ","$14,317 ",635.999,13.4684,"$30,652 ","$16,176 ",8.74%,$542 ,($5.97),"$4,039 ",1.77%,0.16%,3723.12
127,Hyundai Mobis Co. Ltd.,Miscellaneous,Korea,www.mobis.co.kr,128,138,"Mong-Koo Chung, Ph.D., Chairman;Chief Executive Officer","Suk-Soo Chung, Vice-Chairman;Chief Executive Officer",-10.58%,,"$7,046 ","$13,535 ",1109.6,13.1911,"$30,614 ","$32,106 ",-0.46%,"$2,596 ",($10.58),"$21,777 ",8.48%,0.05%,2177.83
128,3M Co.,Chemicals,United States,www.3M.com,129,137,"Mr. Inge G. Thulin, Chairman;President","Mr. James L. Bauman, Executive Vice President;Division Officer",1.20%,,"$7,118 ","$10,986 ",8799,36.8678,"$30,274 ","$32,718 ",-4.86%,"$4,833 ",$1.20 ,"$11,708 ",15.96%,0.75%,3518
129,Fresenius SE,Medical Instruments & Equipment,Germany,www.fresenius.com,130,150,"Dr. Ulf. M. Schneider, Ph.D., Chairman;President","Dr. Francesco De Meo, Ph.D., Member;Chief Executive Officer",26.53%,,"$8,069 ","$11,890 ",14820.9,15.6922,"$30,090 ","$47,021 ",18.92%,"$1,479 ",$26.53 ,"$10,879 ",4.92%,1.36%,3115.14
130,Idemitsu Kosan Co. Ltd.,Petroleum & Coal Products,Japan,www.idemitsu.co.jp,131,109,"Takashi Tsukioka, President","Yoshihisa Matsumoto, Executive Vice President",NA,,"$7,785 ","$7,132 ",5114.15,-6.12909,"$29,657 ","$19,954 ",-22.89%,($298),NA,"$4,158 ",-1.01%,1.23%,3013.35
131,Mondelez International Inc.,Food,United States,www.mondelezinternational.com,132,127,"Ms. Irene B. Rosenfeld, Chairman;Chief Executive Officer","Mr. Brian T. Gladden, Executive Vice President;Chief Financial Officer",250.78%,,"$10,922 ","$8,958 ",14557,26.1874,"$29,636 ","$62,843 ",-13.46%,"$7,267 ",$250.78 ,"$28,012 ",24.52%,0.52%,2609
132,Canon Inc.,Computers & Other Electronic Products,Japan,www.canon.jp,123,139,"Fujio Mitarai, Chairman;Chief Executive Officer","Masaya Maeda, President;Chief Operating Officer",-11.95%,,"$6,772 ","$17,089 ",7.31851,7.39407,"$31,569 ","$36,781 ",1.96%,"$1,829 ",($11.95),"$24,642 ",5.79%,0.00%,4169.27
133,Twenty-First Century Fox Inc.,Publishing & Printing,United States,www.21cf.com,135,136,"Mr. K. Rupert Murdoch, Executive Chairman","Mr. Lachlan K. Murdoch, Executive Chairman",95.98%,,"$7,262 ","$17,376 ",18795,47.6863,"$28,987 ","$50,051 ",-9.04%,"$8,306 ",$95.98 ,"$17,220 ",28.65%,1.09%,2749
134,Schneider Electric SE,Electrical Equipment & Appliances,France,www.schneider-electric.com,134,144,"Jean-Pascal Tricoire, Chief Executive Officer","Emmanuel Babeau, Deputy Chief Executive",-27.00%,,"$11,030 ","$15,006 ",6682.31,7.13055,"$29,016 ","$46,375 ",6.82%,"$1,532 ",($27.00),"$22,707 ",5.28%,0.29%,3305.76
135,Tesoro Corp.,Petroleum & Coal Products,United States,www.tsocorp.com,137,104,"Mr. Gregory J. Goff, Chairman;President","Mr. Steven M. Sterin, Executive Vice President;Chief Financial Officer",91.93%,,"$2,530 ","$4,307 ",4067,34.5757,"$28,711 ","$16,332 ",-29.34%,"$1,540 ",$91.93 ,"$5,213 ",5.36%,0.78%,2302
136,L.M. Ericsson Telephone Co.,Communications Equipment,Sweden,www.ericsson.com,133,147,"Hans Vestberg, President;Chief Executive Officer","Jan Frykhammar, Executive Vice President;Chief Financial Officer",16.67%,,"$10,330 ","$22,481 ",2697.84,9.38908,"$29,289 ","$33,730 ",8.31%,"$1,607 ",$16.67 ,"$17,380 ",5.49%,0.16%,3373.01
137,Jiangxi Copper Co. Ltd.,Primary Metals,China,www.jxcc.com,138,131,"Mr. Yihuang Li, Chairman;General Manager","Mr. Baomin Li, Vice-Chairman",-76.19%,,"$6,236 ","$9,246 ",53.5219,1.50795,"$28,520 ","$13,819 ",-6.58%,$106 ,($76.19),"$7,067 ",0.37%,0.01%,2058.48
138,JFE Holdings Inc.,Fabricated Metal Products,Japan,www.jfe-holdings.co.jp,139,133,"Eiji Hayashida, President;Chief Executive Officer","Shinichi Okada, Executive Vice President;Chief Financial Officer",NA,,"$9,621 ","$14,187 ",8057.76,1.73585,"$28,507 ","$35,179 ",-10.87%,$279 ,NA,"$14,987 ",0.98%,0.54%,6290.91
139,Mazda Motor Corp.,Motor Vehicles,Japan,www.mazda.co.jp,140,162,"Seita Kanai, Chairman","Masamichi Kogai, President;Chief Executive Officer",NA,,"$8,360 ","$11,577 ",2937.88,15.4577,"$28,298 ","$21,169 ",12.28%,"$1,116 ",NA,"$7,925 ",3.95%,0.37%,3185.88
140,Deere & Co.,Machinery,United States,www.johndeere.com,136,122,"Mr. Samuel R. Allen, Chairman","Mr. Max A. Guinn, President",-33.14%,,"$20,408 ","$12,492 ",23833,21.4067,"$28,862 ","$57,947 ",-19.97%,"$1,940 ",($33.14),"$6,743 ",6.72%,3.53%,3817
141,L'Oreal SA,Chemicals,France,www.loreal.com,141,152,"Jean-Paul Agon, Chief Executive Officer","Laurent Attal, Executive Vice President",-30.39%,,"$8,902 ","$10,079 ",44.4398,16.3358,"$27,510 ","$36,718 ",12.10%,"$3,591 ",($30.39),"$25,720 ",13.06%,0.00%,2658.44
142,Enterprise Products Partners LP,Petroleum & Coal Products,United States,www.enterpriseproducts.com,142,88,"Mrs. Randa Duncan Williams, Chairman",Mr. W. Randall Fowler,-14.29%,,"$7,166 ","$4,313 ",20826.7,NA,"$27,027 ","$48,952 ",-43.63%,"$2,558 ",($14.29),NA,9.47%,NA,1038.1
143,Fuji Heavy Industries Ltd.,Motor Vehicles,Japan,www.fhi.co.jp,144,175,"Yasuyuki Yoshinaga, President","Jun Kondo, Executive Vice President",NA,,"$7,970 ","$14,820 ",772.805,42.708,"$26,850 ","$21,535 ",12.31%,"$3,627 ",NA,"$11,162 ",13.51%,0.07%,2312.41
144,Aisin Seiki Co. Ltd.,Motor Vehicle Parts,Japan,www.aisin.co.jp,143,166,"Kanshiro Toyoda, Chairman","Yasumori Ihara, President",24.77%,,"$7,002 ","$10,085 ",2653.96,8.33778,"$26,941 ","$23,798 ",9.40%,$805 ,$24.77 ,"$9,165 ",2.99%,0.29%,2097.47
145,Suzuki Motor Corp.,Motor Vehicles,Japan,www.suzuki.co.jp,145,163,"Osamu Suzuki, Chairman;Chief Executive Officer","Yasuhito Harayama, Vice-Chairman",36.08%,,"$9,519 ","$13,562 ",2183.07,7.86999,"$26,421 ","$22,445 ",5.48%,$969 ,$36.08 ,"$7,957 ",3.67%,0.27%,2378.31
146,CNOOC Ltd.,Petroleum & Coal Products,Hong Kong Special Administrative Region of China,www.cnoocltd.com,147,97,"Mr. Fanrong Li, Chief Executive Officer;President","Mr. Guangyu Yuan, Executive Vice President",-66.67%,NA,"$12,992 ","$21,589 ",20180,5.33337,"$26,397 ","$102,295 ",-37.58%,"$3,117 ",($66.67),"$59,440 ",11.81%,0.34%,1426.27
147,Royal Philips Electronics NV,Computers & Other Electronic Products,Netherlands,www.philips.com,146,159,"Frans van Houten, President;Chief Executive Officer","Abhijit Bhattacharya, Executive Vice President;Chief Financial Officer",55.56%,,"$10,966 ","$13,825 ",4460.32,5.9354,"$26,406 ","$33,739 ",13.34%,$702 ,$55.56 ,"$12,702 ",2.66%,0.35%,3771.94
148,CNH Industrial NV,Machinery,United Kingdom,www.cnhindustrial.com,148,130,"Richard J. Tobin, Chief Executive Officer;Division Officer","Luc Billiet, Division Officer",-63.46%,,"$5,342 ","$31,582 ",26388,5.14019,"$25,912 ","$46,746 ",-20.41%,$253 ,($63.46),"$4,802 ",0.98%,5.50%,5690
149,Compal Electronics Inc.,Computers & Other Electronic Products,Taiwan Province of China,www.compal.com,149,155,"Rock Sheng-Hsiun Hsu, Chairman","Medica John Kevin, Vice-Chairman",22.36%,,"$6,170 ","$8,453 ",436.9,8.58382,"$25,785 ","$9,979 ",0.19%,$264 ,$22.36 ,"$3,158 ",1.02%,0.14%,1415.7
150,CRH PLC,"Stone, Clay, Glass & Concrete Products",Ireland,www.crh.com,150,186,"Albert Manifold, Chief Executive Officer","Senan Murphy, Financial Director",12.56%,,"$6,937 ","$10,235 ",9220.17,7.11408,"$25,743 ","$34,862 ",24.97%,$788 ,$12.56 ,"$14,176 ",3.06%,0.65%,3129.3
151,Taiwan Semiconductor Mfg. Co. Ltd.,Computers & Other Electronic Products,Taiwan Province of China,www.tsmc.com,151,176,"Dr. Mark Liu, Ph.D., President;Co-Chief Executive Officer","Dr. C.C. Wei, Ph.D., President;Co-Chief Executive Officer",19.06%,,"$7,296 ","$22,725 ",5842.89,29.6264,"$25,669 ","$50,438 ",10.58%,"$9,216 ",$19.06 ,"$36,336 ",35.90%,0.16%,2040.54
152,Vale SA,Primary Metals,Brazil,www.vale.com,152,119,"Murilo Pinto de Oliveira Ferreira, Chief Executive Officer","Luciano Siani Pires, Chief Financial Officer;Executive Director",-1907.69%,,"$10,545 ","$11,429 ",26689,-44.8986,"$25,609 ","$88,492 ",-31.78%,"($24,749)","($1,907.69)","$33,589 ",-96.64%,0.79%,3528
153,Altria Group Inc.,Tobacco,United States,www.altria.com,153,171,"Mr. Martin J. Barrington, Chairman;President","Mr. Howard A. Willard, III, Executive Vice President",4.30%,,"$7,078 ","$6,086 ",12915,173.889,"$25,434 ","$32,535 ",3.72%,"$5,241 ",$4.30 ,"$2,880 ",20.61%,4.48%,2031
154,Qualcomm Inc.,Communications Equipment,United States,www.qualcomm.com,154,156,"Dr. Paul E. Jacobs, Ph.D., Executive Chairman","Mr. Derek K. Aberle, President",-30.75%,,"$6,100 ","$22,099 ",9969,13.4571,"$25,281 ","$50,796 ",-4.55%,"$5,271 ",($30.75),"$31,421 ",20.85%,0.32%,1492
155,Baoshan Iron & Steel Co. Ltd.,Fabricated Metal Products,China,www.baosteel.com/plc/,155,145,Dai Zhihao,"He Meifen, Staff Supervisor",-82.86%,,"$14,144 ","$10,763 ",2749.76,0.886478,"$25,270 ","$36,049 ",-12.61%,$155 ,($82.86),"$17,368 ",0.62%,0.16%,3620.85
